,YEAR,AGELOW,AGEHIGH,POPPROJ
418,2061,34,44,45977908.55
419,2061,45,54,39032179.63
420,2061,55,66,44679936.83
421,2061,67,75,27491383.22
422,2061,75,90,27711084.71
423,2062,0,4,18749402.1
424,2062,5,14,38264593.01
425,2062,15,24,38045469.05
426,2062,25,34,36627223
427,2062,34,44,45991125.46
428,2062,45,54,39213357.66
429,2062,55,66,44416683.09
430,2062,67,75,27430378.75
431,2062,75,90,27821477.39
432,2063,0,4,18646268.33
433,2063,5,14,38204959.39
434,2063,15,24,38014281.73
435,2063,25,34,36225402
436,2063,34,44,45975818.03
437,2063,45,54,39418788.46
438,2063,55,66,44168058.55
439,2063,67,75,27346361.46
440,2063,75,90,27929038.1
441,2064,0,4,18539125.81
442,2064,5,14,38123402.39
443,2064,15,24,38015879.1
444,2064,25,34,35814904.69
445,2064,34,44,45930839.47
446,2064,45,54,39634251.24
447,2064,55,66,43942122.81
448,2064,67,75,27242077.55
449,2064,75,90,28028764.24
