YEAR,AGE GROUP,POPULATION,BIRTH RATE,DEATH RATE,,,,
2012,55-64,38615342,0,0.008542069,,,,
2012,65-74,24009505,0,0.018025388,,,,
2012,75+,19151767,0,0.074412196,,,,
2013,<4,19853916,0,0.001384532,,,,
2013,5-14,41231973,0.0003,0.000129546,,,,
2013,15-24,44034570,0.0536,0.000648081,,,,
2013,25-34,42898916,0.10175,0.001061114,,,,
2013,35-44,40542105,0.02985,0.001719861,,,,
2013,45-54,43844480,0.0008,0.004060636,,,,
2013,55-64,39342253,0,0.008600145,,,,
2013,65-74,25220955,0,0.018020907,,,,
2013,75+,19458227,0,0.074418232,,,,
2014,<4,19872010,0,0.001360626,,,,
2014,5-14,41207303,0.0003,0.000127455,,,,
2014,15-24,44003825,0.0516,0.000654641,,,,
2014,25-34,43547161,0.1033,0.001084117,,,,
2014,35-44,40534422,0.0308,0.001752419,,,,
2014,45-54,43464825,0.0008,0.004047898,,,,
2014,55-64,40076125,0,0.00870332,,,,
2014,65-74,26392080,0,0.017862559,,,,
2014,75+,19809650,0,0.07310334,,,,
2015,<4,19907281,0,0.001377385,,,,
2015,5-14,41109506,0.0002,0.000131624,,,,
2015,15-24,43848216,0.0496,0.000695444,,,,
2015,25-34,44137202,0.10285,0.001167201,,,,
2015,35-44,40589783,0.03135,0.00180065,,,,
2015,45-54,43188161,0.0008,0.00404032,,,,
2015,55-64,40877819,0,0.008752546,,,,
2015,65-74,27550517,0,0.017967576,,,,
2015,75+,20210335,0,0.074084225,,,,
